region,state,individuals,family_members,state_pop
EastSouthCentral,Alabama,2570,864,4887681
Pacific,Alaska,1434,582,735139
Mountain,Arizona,7259,2606,7158024
WestSouthCentral,Arkansas,2280,432,3009733
Pacific,California,109008,20964,39461588
Mountain,Colorado,7607,3250,5691287
NewEngland,Connecticut,2280,1696,3571520
SouthAtlantic,Delaware,708,374,965479
SouthAtlantic,DistrictofColumbia,3770,3134,701547
SouthAtlantic,Florida,21443,9587,21244317
SouthAtlantic,Georgia,6943,2556,10511131
Pacific,Hawaii,4131,2399,1420593
Mountain,Idaho,1297,715,1750536
EastNorthCentral,Illinois,6752,3891,12723071
EastNorthCentral,Indiana,3776,1482,6695497
WestNorthCentral,Iowa,1711,1038,3148618
WestNorthCentral,Kansas,1443,773,2911359
EastSouthCentral,Kentucky,2735,953,4461153
WestSouthCentral,Louisiana,2540,519,4659690
NewEngland,Maine,1450,1066,1339057
SouthAtlantic,Maryland,4914,2230,6035802
NewEngland,Massachusetts,6811,13257,6882635
EastNorthCentral,Michigan,5209,3142,9984072
WestNorthCentral,Minnesota,3993,3250,5606249
EastSouthCentral,Mississippi,1024,328,2981020
WestNorthCentral,Missouri,3776,2107,6121623
Mountain,Montana,983,422,1060665
WestNorthCentral,Nebraska,1745,676,1925614
Mountain,Nevada,7058,486,3027341
NewEngland,NewHampshire,835,615,1353465
Mid-Atlantic,NewJersey,6048,3350,8886025
Mountain,NewMexico,1949,602,2092741
Mid-Atlantic,NewYork,39827,52070,19530351
SouthAtlantic,NorthCarolina,6451,2817,10381615
WestNorthCentral,NorthDakota,467,75,758080
EastNorthCentral,Ohio,6929,3320,11676341
WestSouthCentral,Oklahoma,2823,1048,3940235
Pacific,Oregon,11139,3337,4181886
Mid-Atlantic,Pennsylvania,8163,5349,12800922
NewEngland,RhodeIsland,747,354,1058287
SouthAtlantic,SouthCarolina,3082,851,5084156
WestNorthCentral,SouthDakota,836,323,878698
EastSouthCentral,Tennessee,6139,1744,6771631
WestSouthCentral,Texas,19199,6111,28628666
Mountain,Utah,1904,972,3153550
NewEngland,Vermont,780,511,624358
SouthAtlantic,Virginia,3928,2047,8501286
Pacific,Washington,16424,5880,7523869
SouthAtlantic,WestVirginia,1021,222,1804291
EastNorthCentral,Wisconsin,2740,2167,5807406
Mountain,Wyoming,434,205,577601
