iid,cid,invoice_date,total,bill_ctry
49,30,8/6/2009,1.98,Canada
50,32,8/6/2009,1.98,Canada
51,34,8/7/2009,3.96,Portugal
52,38,8/8/2009,5.94,Germany
53,44,8/11/2009,8.91,Finland
54,53,8/16/2009,13.86,UK
55,8,8/24/2009,0.99,Belgium
133,14,8/13/2010,1.98,Canada
134,16,8/13/2010,1.98,USA
135,18,8/14/2010,3.96,USA
136,22,8/15/2010,5.94,USA
137,28,8/18/2010,8.91,USA
138,37,8/23/2010,13.86,Germany
139,51,8/31/2010,0.99,Sweden
216,56,8/7/2011,0.99,Argentina
217,57,8/20/2011,1.98,Chile
218,59,8/20/2011,1.98,India
219,2,8/21/2011,3.96,Germany
220,6,8/22/2011,5.94,Czech Republic
221,12,8/25/2011,8.91,Brazil
222,21,8/30/2011,13.86,USA
299,26,8/5/2012,23.86,USA
300,40,8/13/2012,0.99,France
301,41,8/26/2012,1.98,France
302,43,8/26/2012,1.98,France
303,45,8/27/2012,3.96,Hungary
304,49,8/28/2012,5.94,Poland
305,55,8/31/2012,8.91,Australia
378,46,8/2/2013,1.98,Ireland
379,48,8/2/2013,1.98,Netherlands
380,50,8/3/2013,3.96,Spain
381,54,8/4/2013,5.94,UK
382,1,8/7/2013,8.91,Brazil
383,10,8/12/2013,13.86,Brazil
384,24,8/20/2013,0.99,USA
