iid,cid,invoice_date,total,bill_ctry
56,9,9/6/2009,1.98,Denmark
57,11,9/6/2009,1.98,Brazil
58,13,9/7/2009,3.96,Brazil
59,17,9/8/2009,5.94,USA
60,23,9/11/2009,8.91,USA
61,32,9/16/2009,13.86,Canada
62,46,9/24/2009,0.99,Ireland
140,52,9/13/2010,1.98,UK
141,54,9/13/2010,1.98,UK
142,56,9/14/2010,3.96,Argentina
143,1,9/15/2010,5.94,Brazil
144,7,9/18/2010,8.91,Austria
145,16,9/23/2010,13.86,USA
223,35,9/7/2011,0.99,Portugal
224,36,9/20/2011,1.98,Germany
225,38,9/20/2011,1.98,Germany
226,40,9/21/2011,3.96,France
227,44,9/22/2011,5.94,Finland
228,50,9/25/2011,8.91,Spain
229,59,9/30/2011,13.86,India
306,5,9/5/2012,16.86,Czech Republic
307,19,9/13/2012,1.99,USA
308,20,9/26/2012,3.98,USA
309,22,9/26/2012,3.98,USA
310,24,9/27/2012,7.96,USA
311,28,9/28/2012,11.94,USA
385,25,9/2/2013,1.98,USA
386,27,9/2/2013,1.98,USA
387,29,9/3/2013,3.96,Canada
388,33,9/4/2013,5.94,Canada
389,39,9/7/2013,8.91,France
390,48,9/12/2013,13.86,Netherlands
391,3,9/20/2013,0.99,Canada
