ID,Event,Medal
62,Rowing Men's Coxless Pairs,Bronze
65,Taekwondo Women's Flyweight,Bronze
73,Handball Men's Handball,Silver
250,"Wrestling Men's Middleweight, Greco-Roman",Bronze
455,Gymnastics Men's Team All-Around,Silver
455,Gymnastics Men's Horse Vault,Silver
455,Gymnastics Men's Rings,Bronze
465,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
576,Basketball Men's Basketball,Bronze
608,Taekwondo Men's Featherweight,Gold
690,Rowing Women's Quadruple Sculls,Silver
832,Boxing Women's Flyweight,Gold
837,Volleyball Women's Volleyball,Bronze
846,Athletics Women's Shot Put,Silver
1017,Swimming Men's 50 metres Freestyle,Bronze
1017,Swimming Men's 100 metres Freestyle,Bronze
1017,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Swimming Men's 4 x 100 metres Medley Relay,Gold
1561,Athletics Men's 4 x 100 metres Relay,Bronze
1634,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1647,Boxing Men's Bantamweight,Bronze
1682,Athletics Women's 4 x 100 metres Relay,Gold
1683,Volleyball Women's Volleyball,Bronze
2497,"Wrestling Men's Heavyweight, Greco-Roman",Gold
2610,Taekwondo Men's Heavyweight,Silver
2695,Athletics Women's 100 metres Hurdles,Silver
2769,Taekwondo Women's Featherweight,Bronze
3077,Handball Women's Handball,Bronze
3174,Boxing Men's Lightweight,Bronze
3537,"Wrestling Women's Lightweight, Freestyle",Bronze
3691,Rowing Women's Coxless Pairs,Bronze
3845,Volleyball Men's Volleyball,Bronze
4505,Basketball Men's Basketball,Gold
4575,Volleyball Men's Volleyball,Silver
4782,Athletics Men's 50 kilometres Walk,Bronze
5023,Boxing Men's Light-Flyweight,Bronze
5093,Volleyball Men's Volleyball,Gold
5245,Handball Women's Handball,Bronze
5414,"Wrestling Men's Welterweight, Greco-Roman",Silver
5542,Athletics Women's 4 x 100 metres Relay,Bronze
5561,Athletics Men's 4 x 100 metres Relay,Gold
5577,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
5971,Basketball Women's Basketball,Gold
6204,"Athletics Women's 5,000 metres",Bronze
6204,"Athletics Women's 10,000 metres",Gold
6241,Handball Women's Handball,Silver
6346,Rowing Men's Lightweight Double Sculls,Gold
6912,Athletics Men's 4 x 100 metres Relay,Gold
7020,Swimming Women's 100 metres Backstroke,Silver
7020,Swimming Women's 4 x 100 metres Medley Relay,Gold
7133,Swimming Men's 200 metres Breaststroke,Gold
7590,Volleyball Women's Volleyball,Bronze
7612,Rowing Women's Quadruple Sculls,Gold
7956,Basketball Men's Basketball,Gold
8025,Rowing Men's Lightweight Coxless Fours,Bronze
8051,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
8128,"Athletics Women's 1,500 metres",Bronze
8204,Athletics Men's High Jump,Silver
8214,Rowing Men's Lightweight Coxless Fours,Silver
8417,Athletics Men's 110 metres Hurdles,Bronze
8672,Boxing Men's Light-Heavyweight,Bronze
9432,Rowing Women's Coxless Pairs,Silver
9444,Taekwondo Men's Welterweight,Bronze
9464,Athletics Women's High Jump,Gold
9577,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
9750,Swimming Women's 200 metres Butterfly,Gold
9750,Swimming Women's 400 metres Individual Medley,Bronze
9764,Rowing Men's Quadruple Sculls,Silver
9823,Boxing Women's Lightweight,Bronze
9829,Gymnastics Men's Team All-Around,Silver
9829,Gymnastics Men's Parallel Bars,Bronze
10173,Rowing Women's Coxed Eights,Silver
10181,Rowing Men's Coxed Eights,Gold
10257,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
10341,Rowing Women's Coxed Eights,Bronze
10425,"Wrestling Men's Featherweight, Greco-Roman",Bronze
11094,Rowing Women's Quadruple Sculls,Silver
11495,Gymnastics Women's Individual All-Around,Gold
11495,Gymnastics Women's Team All-Around,Gold
11495,Gymnastics Women's Floor Exercise,Gold
11495,Gymnastics Women's Horse Vault,Gold
11495,Gymnastics Women's Balance Beam,Bronze
11653,Volleyball Men's Volleyball,Silver
11656,Basketball Men's Basketball,Silver
11671,Basketball Women's Basketball,Gold
11673,Athletics Men's 20 kilometres Walk,Bronze
12086,Athletics Men's 4 x 100 metres Relay,Gold
12290,Handball Women's Handball,Gold
12399,Swimming Women's 50 metres Freestyle,Gold
12399,Swimming Women's 4 x 100 metres Medley Relay,Bronze
12496,Handball Women's Handball,Gold
12738,Basketball Men's Basketball,Silver
12740,Taekwondo Women's Flyweight,Silver
12757,Rowing Women's Coxed Eights,Bronze
12981,"Wrestling Men's Welterweight, Greco-Roman",Bronze
13029,Athletics Men's 100 metres,Gold
