,Unnamed: 0,model_year,origin,mpg_mean
0,0,70,europe,25.200
1,1,70,japan,25.500
2,2,70,usa,15.273
3,3,71,europe,28.750
4,4,71,japan,29.500
5,5,71,usa,18.100
6,6,72,europe,22.000
7,7,72,japan,24.200
8,8,72,usa,16.278
9,9,73,europe,24.000
10,10,73,japan,20.000
11,11,73,usa,15.034
12,12,74,europe,27.000
13,13,74,japan,29.333
14,14,74,usa,18.333
15,15,75,europe,24.500
16,16,75,japan,27.500
17,17,75,usa,17.550
18,18,76,europe,24.250
19,19,76,japan,28.000
20,20,76,usa,19.432
21,21,77,europe,29.250
22,22,77,japan,27.417
23,23,77,usa,20.722
24,24,78,europe,24.950
25,25,78,japan,29.688
26,26,78,usa,21.773
27,27,79,europe,30.450
28,28,79,japan,32.950
29,29,79,usa,23.478
30,30,80,europe,37.289
31,31,80,japan,35.400
32,32,80,usa,25.914
33,33,81,europe,31.575
34,34,81,japan,32.958
35,35,81,usa,27.531
36,36,82,europe,40.000
37,37,82,japan,34.889
38,38,82,usa,29.450
