,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Age Category
0,5,1,5,1,3,4,1,3,4,few hours a day,3,20,1,female,village,Less than 21
1,4,1,5,1,5,5,1,2,2,few hours a day,3,19,2,female,city,Less than 21
2,5,1,5,1,5,5,1,5,3,few hours a day,2,20,2,female,city,Less than 21
3,5,2,5,4,4,1,5,5,2,most of the day,2,22,1,female,city,21+
4,5,2,5,3,2,1,1,3,3,few hours a day,4,20,1,female,village,Less than 21
5,5,1,5,5,2,2,1,2,3,few hours a day,2,20,1,male,city,Less than 21
6,5,5,4,3,1,5,1,3,4,less than an hour a day,4,20,1,female,village,Less than 21
7,5,3,5,5,1,5,1,2,3,few hours a day,3,19,1,male,city,Less than 21
8,5,1,5,3,1,1,5,4,4,few hours a day,2,18,1,female,city,Less than 21
9,5,1,5,3,3,2,3,2,3,few hours a day,4,19,3,female,city,Less than 21
10,5,4,5,3,2,5,2,2,4,less than an hour a day,2,19,2,female,city,Less than 21
11,5,1,5,2,1,1,5,4,4,few hours a day,2,17,1,female,city,Less than 21
12,5,1,5,4,1,2,1,5,4,few hours a day,4,24,10,female,city,21+
13,5,1,5,2,1,5,3,2,3,few hours a day,3,19,1,female,city,Less than 21
14,5,1,4,2,1,5,2,2,4,most of the day,5,22,1,female,city,21+
15,1,1,5,5,3,1,1,4,4,few hours a day,3,18,0,male,city,Less than 21
16,5,4,5,1,1,5,5,2,3,few hours a day,3,19,2,female,city,Less than 21
17,5,1,5,3,1,5,4,4,1,few hours a day,1,20,1,female,village,Less than 21
18,5,4,5,3,5,4,1,4,3,few hours a day,4,18,2,male,city,Less than 21
19,5,3,3,2,3,1,4,2,2,few hours a day,2,18,1,male,city,Less than 21
20,5,3,5,5,2,3,2,2,3,few hours a day,2,20,1,male,city,Less than 21
21,5,1,5,4,3,5,1,4,3,few hours a day,2,24,1,male,city,21+
22,5,3,5,3,1,5,5,3,3,few hours a day,5,22,1,female,city,21+
23,5,1,5,2,2,5,3,3,2,few hours a day,2,20,3,female,city,Less than 21
24,5,3,5,4,2,3,5,4,4,few hours a day,3,19,1,female,city,Less than 21
25,5,2,5,2,3,3,5,2,4,few hours a day,2,20,1,female,city,Less than 21
26,5,2,5,3,2,5,1,4,5,few hours a day,5,22,1,female,city,21+
27,4,4,5,2,1,5,5,3,4,few hours a day,3,19,1,female,city,Less than 21
28,5,3,5,5,1,3,4,3,3,few hours a day,3,20,2,male,village,Less than 21
29,5,3,5,5,2,2,5,3,3,few hours a day,4,19,2,female,village,Less than 21
30,4,3,5,2,1,3,5,2,3,few hours a day,2,25,1,male,city,21+
31,4,1,4,4,2,1,2,2,3,less than an hour a day,4,22,1,female,city,21+
32,5,3,5,4,1,5,5,1,3,few hours a day,1,20,4,female,city,Less than 21
33,5,1,4,5,2,5,4,3,4,few hours a day,2,27,1,female,city,21+
34,5,1,5,4,3,1,2,2,2,few hours a day,3,20,5,male,city,Less than 21
