,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Interested in Math
0,5,1,5,1,3,4,1,3,4,few hours a day,3,20,1,female,village,FALSE
1,4,1,5,1,5,5,1,2,2,few hours a day,3,19,2,female,city,TRUE
2,5,1,5,1,5,5,1,5,3,few hours a day,2,20,2,female,city,TRUE
3,5,2,5,4,4,1,5,5,2,most of the day,2,22,1,female,city,TRUE
4,5,2,5,3,2,1,1,3,3,few hours a day,4,20,1,female,village,FALSE
5,5,1,5,5,2,2,1,2,3,few hours a day,2,20,1,male,city,FALSE
6,5,5,4,3,1,5,1,3,4,less than an hour a day,4,20,1,female,village,FALSE
7,5,3,5,5,1,5,1,2,3,few hours a day,3,19,1,male,city,FALSE
8,5,1,5,3,1,1,5,4,4,few hours a day,2,18,1,female,city,FALSE
9,5,1,5,3,3,2,3,2,3,few hours a day,4,19,3,female,city,FALSE
10,5,4,5,3,2,5,2,2,4,less than an hour a day,2,19,2,female,city,FALSE
11,5,1,5,2,1,1,5,4,4,few hours a day,2,17,1,female,city,FALSE
12,5,1,5,4,1,2,1,5,4,few hours a day,4,24,10,female,city,FALSE
13,5,1,5,2,1,5,3,2,3,few hours a day,3,19,1,female,city,FALSE
14,5,1,4,2,1,5,2,2,4,most of the day,5,22,1,female,city,FALSE
15,1,1,5,5,3,1,1,4,4,few hours a day,3,18,0,male,city,FALSE
16,5,4,5,1,1,5,5,2,3,few hours a day,3,19,2,female,city,FALSE
17,5,1,5,3,1,5,4,4,1,few hours a day,1,20,1,female,village,FALSE
18,5,4,5,3,5,4,1,4,3,few hours a day,4,18,2,male,city,TRUE
19,5,3,3,2,3,1,4,2,2,few hours a day,2,18,1,male,city,FALSE
20,5,3,5,5,2,3,2,2,3,few hours a day,2,20,1,male,city,FALSE
21,5,1,5,4,3,5,1,4,3,few hours a day,2,24,1,male,city,FALSE
