,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Number of Siblings,,Feels Lonely
854,5,1,4,2,3,3,5,3,4,few hours a day,2,27,0,male,city,0,,FALSE
174,5,1,5,5,1,3,5,3,3,few hours a day,3,26,0,male,city,0,,FALSE
389,5,1,5,2,2,3,2,3,5,few hours a day,4,21,0,female,city,0,,FALSE
386,5,4,4,2,3,2,2,3,3,few hours a day,4,19,0,female,city,0,,FALSE
829,5,1,5,3,2,2,4,5,5,few hours a day,3,20,0,female,city,0,,TRUE
180,4,1,4,4,4,1,1,3,2,few hours a day,4,21,0,male,city,0,,FALSE
181,5,3,4,4,2,2,1,2,4,few hours a day,3,23,0,male,city,0,,FALSE
182,5,1,5,3,2,5,5,2,4,few hours a day,2,19,0,female,city,0,,FALSE
184,5,1,5,3,1,2,2,5,3,few hours a day,2,21,0,female,city,0,,TRUE
642,4,3,4,3,4,5,1,5,4,most of the day,4,22,0,male,city,0,,TRUE
382,5,4,5,4,1,5,5,2,4,few hours a day,2,21,0,female,village,0,,FALSE
823,5,3,4,4,1,1,2,5,2,few hours a day,2,21,0,male,city,0,,TRUE
647,5,1,5,5,1,5,3,3,3,most of the day,3,21,0,female,village,0,,FALSE
819,5,2,4,3,3,5,2,1,3,less than an hour a day,4,17,0,female,city,0,,FALSE
377,5,1,5,3,5,4,1,4,3,few hours a day,3,17,0,female,village,0,,TRUE
817,3,1,3,1,1,2,1,5,5,most of the day,3,23,0,male,city,0,,TRUE
196,5,3,5,4,1,1,4,2,3,few hours a day,4,20,0,female,city,0,,FALSE
197,5,1,5,2,1,4,4,3,4,few hours a day,3,22,0,female,city,0,,FALSE
816,5,3,5,5,3,5,5,1,4,few hours a day,2,21,0,male,city,0,,FALSE
201,5,2,5,4,1,5,1,3,4,few hours a day,2,18,0,NaN,village,0,,FALSE
202,5,4,5,2,1,4,4,3,2,few hours a day,3,15,0,male,city,0,,FALSE
652,4,1,5,3,4,1,4,5,4,few hours a day,4,21,0,male,city,0,,TRUE
373,5,1,5,5,1,1,2,4,3,most of the day,4,20,0,male,city,0,,TRUE
653,5,1,5,3,1,5,2,3,4,few hours a day,5,22,0,female,village,0,,FALSE
835,4,1,5,4,4,1,3,3,3,few hours a day,3,19,0,male,city,0,,FALSE
171,5,1,5,4,1,1,1,4,3,few hours a day,3,20,0,male,city,0,,TRUE
836,5,1,5,2,1,4,1,1,2,few hours a day,1,19,0,male,city,0,,FALSE
838,5,2,5,2,1,5,5,1,1,few hours a day,3,21,0,female,city,0,,FALSE
115,5,3,5,2,1,3,5,5,3,few hours a day,3,17,0,female,city,0,,TRUE
429,5,1,5,2,1,4,2,3,3,most of the day,3,21,0,female,city,0,,FALSE
600,5,4,5,2,1,5,5,4,3,most of the day,3,18,0,female,city,0,,TRUE
885,3,3,4,3,2,5,1,2,4,few hours a day,2,23,0,female,city,0,,FALSE
120,5,3,3,5,5,5,1,2,2,most of the day,4,23,0,male,city,0,,FALSE
122,5,1,4,5,1,4,2,2,3,few hours a day,4,23,0,female,city,0,,FALSE
123,5,1,3,2,1,4,1,3,3,few hours a day,4,20,0,female,village,0,,FALSE
879,4,5,5,2,4,5,1,2,3,less than an hour a day,2,23,0,male,city,0,,FALSE
419,5,3,3,3,1,2,1,2,3,less than an hour a day,3,23,0,female,village,0,,FALSE
873,4,4,5,3,2,2,2,2,3,few hours a day,3,21,0,male,city,0,,FALSE
611,5,3,5,3,3,5,4,3,3,most of the day,2,18,0,female,city,0,,FALSE
809,4,1,4,4,1,1,1,1,2,most of the day,2,18,0,male,city,0,,FALSE
868,5,2,4,2,2,4,1,2,4,few hours a day,4,18,0,male,village,0,,FALSE
411,5,2,5,5,1,3,5,2,4,few hours a day,2,18,0,female,city,0,,FALSE
409,5,4,5,1,3,3,5,5,2,few hours a day,3,16,0,female,city,0,,TRUE
618,5,1,5,5,1,1,3,5,4,most of the day,3,23,0,female,city,0,,TRUE
626,5,4,5,2,2,4,2,3,3,less than an hour a day,4,22,0,female,village,0,,FALSE
153,2,3,3,5,1,1,5,4,4,few hours a day,3,21,0,female,city,0,,TRUE
628,4,2,5,2,4,4,1,4,4,few hours a day,3,19,0,male,city,0,,TRUE
629,5,3,5,2,1,5,3,3,4,few hours a day,1,20,0,female,city,0,,FALSE
850,4,1,5,2,1,5,5,2,4,few hours a day,5,17,0,female,city,0,,FALSE
396,5,2,2,2,4,1,4,4,4,few hours a day,3,16,0,female,city,0,,TRUE
162,4,1,4,5,1,2,2,3,2,few hours a day,4,21,0,male,city,0,,FALSE
168,5,1,5,3,1,1,1,5,3,most of the day,3,20,0,female,city,0,,TRUE
615,5,3,5,2,2,2,1,3,4,few hours a day,1,20,0,male,city,0,,FALSE
596,5,5,3,2,1,4,1,5,3,few hours a day,4,20,0,male,city,0,,TRUE
807,3,1,5,3,1,5,4,3,2,few hours a day,3,20,0,male,city,0,,FALSE
216,5,2,4,3,3,1,4,3,3,few hours a day,3,17,0,female,city,0,,FALSE
695,5,3,4,4,2,5,5,3,3,few hours a day,3,23,0,female,city,0,,FALSE
274,5,2,4,5,1,4,4,2,2,few hours a day,4,22,0,female,city,0,,FALSE
743,2,1,1,1,3,2,1,3,4,few hours a day,1,22,0,male,city,0,,FALSE
330,5,3,5,4,1,5,5,2,3,few hours a day,3,22,0,female,city,0,,FALSE
277,5,2,5,5,2,1,5,4,3,few hours a day,4,19,0,male,city,0,,TRUE
739,5,3,5,5,5,4,2,1,3,few hours a day,4,23,0,male,city,0,,FALSE
737,5,3,5,4,1,5,3,4,3,most of the day,3,21,0,female,city,0,,TRUE
328,5,1,5,1,5,1,1,3,3,few hours a day,5,18,0,male,city,0,,FALSE
326,5,3,5,4,4,4,1,1,4,few hours a day,3,19,0,female,city,0,,FALSE
732,5,2,4,5,3,1,2,2,3,few hours a day,3,19,0,female,village,0,,FALSE
698,5,2,5,3,1,2,2,5,5,most of the day,1,19,0,female,city,0,,TRUE
289,5,2,4,5,1,4,1,2,2,most of the day,1,19,0,male,city,0,,FALSE
321,5,3,5,4,1,5,5,3,4,few hours a day,2,16,0,female,city,0,,FALSE
320,5,4,5,5,3,3,1,3,4,few hours a day,5,20,0,male,village,0,,FALSE
725,5,3,5,5,1,3,1,2,3,few hours a day,1,19,0,male,village,0,,FALSE
318,5,2,5,3,3,5,5,3,3,less than an hour a day,3,16,0,female,city,0,,FALSE
722,5,2,5,3,2,1,2,3,4,few hours a day,3,21,0,female,city,0,,FALSE
297,5,4,5,1,3,3,1,4,3,few hours a day,2,19,0,male,village,0,,TRUE
298,5,2,5,3,1,5,3,3,3,less than an hour a day,4,19,0,female,city,0,,FALSE
709,5,2,5,2,1,3,1,3,3,less than an hour a day,2,17,0,female,city,0,,FALSE
714,5,3,5,3,3,5,4,2,4,less than an hour a day,5,25,0,female,village,0,,FALSE
305,5,1,5,5,4,5,2,3,3,few hours a day,2,20,0,female,city,0,,FALSE
311,5,2,5,5,3,2,5,3,4,few hours a day,3,18,0,female,city,0,,FALSE
271,5,1,5,4,2,5,2,2,3,less than an hour a day,4,24,0,male,village,0,,FALSE
691,5,2,5,3,1,3,5,4,3,less than an hour a day,2,17,0,female,city,0,,TRUE
749,5,1,5,4,1,4,3,3,3,few hours a day,3,17,0,male,city,0,,FALSE
685,5,3,5,3,2,5,4,4,4,few hours a day,3,19,0,female,village,0,,TRUE
795,5,1,4,4,4,5,5,3,4,most of the day,5,30,0,female,city,0,,FALSE
