,Unnamed: 0,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Interested in Pets
0,0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,village,Yes
1,1,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,few hours a day,3.0,19.0,2.0,female,city,Yes
2,2,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,3.0,few hours a day,2.0,20.0,2.0,female,city,Yes
3,3,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,2.0,most of the day,2.0,22.0,1.0,female,city,No
4,4,5.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,village,No
5,5,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,No
6,6,5.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,4.0,less than an hour a day,4.0,20.0,1.0,female,village,Yes
7,7,5.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,male,city,Yes
8,8,5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,18.0,1.0,female,city,No
9,9,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,few hours a day,4.0,19.0,3.0,female,city,No
10,10,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,4.0,less than an hour a day,2.0,19.0,2.0,female,city,Yes
11,11,5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,4.0,few hours a day,2.0,17.0,1.0,female,city,No
12,12,5.0,1.0,5.0,4.0,1.0,2.0,1.0,5.0,4.0,few hours a day,4.0,24.0,10.0,female,city,No
13,13,5.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Yes
14,14,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,4.0,most of the day,5.0,22.0,1.0,female,city,Yes
15,15,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,few hours a day,3.0,18.0,0.0,male,city,No
16,16,5.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,few hours a day,3.0,19.0,2.0,female,city,Yes
17,17,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,few hours a day,1.0,20.0,1.0,female,village,Yes
18,18,5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,3.0,few hours a day,4.0,18.0,2.0,male,city,Yes
19,19,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,few hours a day,2.0,18.0,1.0,male,city,No
20,20,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,few hours a day,2.0,20.0,1.0,male,city,No
21,21,5.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,3.0,few hours a day,2.0,24.0,1.0,male,city,Yes
22,22,5.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,few hours a day,5.0,22.0,1.0,female,city,Yes
23,23,5.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,few hours a day,2.0,20.0,3.0,female,city,Yes
24,24,5.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,few hours a day,3.0,19.0,1.0,female,city,No
25,25,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,few hours a day,2.0,20.0,1.0,female,city,No
26,26,5.0,2.0,5.0,3.0,2.0,5.0,1.0,4.0,5.0,few hours a day,5.0,22.0,1.0,female,city,Yes
27,27,4.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,4.0,few hours a day,3.0,19.0,1.0,female,city,Yes
28,28,5.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,3.0,few hours a day,3.0,20.0,2.0,male,village,No
29,29,5.0,3.0,5.0,5.0,2.0,2.0,5.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,village,No
30,30,4.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,3.0,few hours a day,2.0,25.0,1.0,male,city,No
31,31,4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,less than an hour a day,4.0,22.0,1.0,female,city,No
32,32,5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,3.0,few hours a day,1.0,20.0,4.0,female,city,Yes
33,33,5.0,1.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,few hours a day,2.0,27.0,1.0,female,city,Yes
34,34,5.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,2.0,few hours a day,3.0,20.0,5.0,male,city,No
35,35,5.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,village,Yes
36,36,5.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,few hours a day,5.0,18.0,1.0,female,city,Yes
37,37,5.0,1.0,4.0,3.0,3.0,3.0,NaN,3.0,3.0,few hours a day,3.0,21.0,1.0,male,city,No
38,38,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,few hours a day,5.0,23.0,1.0,female,village,Yes
39,39,5.0,2.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,few hours a day,3.0,21.0,1.0,female,city,Yes
40,40,4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,1.0,few hours a day,3.0,26.0,1.0,female,city,No
41,41,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,few hours a day,3.0,20.0,3.0,male,city,No
42,42,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,2.0,few hours a day,5.0,19.0,0.0,female,city,Yes
43,43,5.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,3.0,most of the day,3.0,20.0,1.0,female,city,Yes
44,44,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,few hours a day,4.0,25.0,1.0,female,village,Yes
45,45,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,most of the day,4.0,27.0,1.0,male,NaN,Yes
46,46,5.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,few hours a day,3.0,21.0,1.0,female,city,Yes
47,47,5.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,3.0,few hours a day,3.0,19.0,1.0,female,city,Yes
48,48,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,few hours a day,4.0,20.0,1.0,female,village,No
49,49,5.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,few hours a day,4.0,20.0,1.0,female,city,Yes
50,50,4.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,few hours a day,4.0,19.0,2.0,female,city,Yes
51,51,5.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,less than an hour a day,5.0,19.0,1.0,female,city,Yes
52,52,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,few hours a day,1.0,21.0,2.0,female,village,No
53,53,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,less than an hour a day,3.0,18.0,4.0,female,city,No
54,54,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,few hours a day,3.0,21.0,2.0,female,city,No
55,55,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,2.0,few hours a day,5.0,23.0,1.0,female,village,Yes
56,56,5.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,few hours a day,3.0,20.0,2.0,female,city,No
57,57,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,few hours a day,5.0,21.0,1.0,female,city,Yes
58,58,5.0,3.0,5.0,3.0,3.0,3.0,1.0,5.0,4.0,few hours a day,5.0,19.0,1.0,male,village,No
59,59,5.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,3.0,few hours a day,1.0,22.0,1.0,male,city,No
60,60,5.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,3.0,most of the day,5.0,23.0,1.0,male,city,No
61,61,5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,few hours a day,2.0,23.0,1.0,male,city,Yes
62,62,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,4.0,few hours a day,3.0,23.0,2.0,male,city,No
63,63,5.0,5.0,5.0,4.0,NaN,3.0,NaN,2.0,3.0,few hours a day,3.0,22.0,2.0,male,city,No
64,64,5.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,4.0,most of the day,1.0,18.0,0.0,female,city,Yes
65,65,4.0,4.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,few hours a day,1.0,17.0,1.0,male,city,No
66,66,4.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,3.0,less than an hour a day,3.0,20.0,1.0,male,village,No
67,67,3.0,1.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,few hours a day,3.0,24.0,0.0,female,village,Yes
68,68,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,few hours a day,1.0,18.0,1.0,female,village,Yes
69,69,5.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,4.0,most of the day,1.0,20.0,3.0,female,city,Yes
70,70,5.0,3.0,5.0,2.0,1.0,2.0,4.0,3.0,5.0,few hours a day,3.0,17.0,1.0,male,city,No
71,71,4.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0,few hours a day,4.0,20.0,1.0,male,city,Yes
72,72,5.0,1.0,5.0,3.0,1.0,2.0,5.0,5.0,3.0,few hours a day,3.0,28.0,1.0,female,city,No
73,73,5.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,few hours a day,3.0,21.0,1.0,male,city,Yes
