,YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List
0,1999,actor,1/11/1999,Acting,Michael J. Fox
1,1999,Comedian,1/12/1999,Comedy,Sandra Bernhard
2,1999,television actress,1/13/1999,Acting,Tracey Ullman
3,1999,film actress,1/14/1999,Acting,Gillian Anderson
4,1999,actor,1/18/1999,Acting,David Alan Grier
5,1999,actor,1/19/1999,Acting,William Baldwin
6,1999,Singer-lyricist,1/20/1999,Musician,Michael Stipe
7,1999,model,1/21/1999,Media,Carmen Electra
8,1999,actor,1/25/1999,Acting,Matthew Lillard
9,1999,stand-up comedian,1/26/1999,Comedy,David Cross
10,1999,actress,1/27/1999,Acting,Yasmine Bleeth
11,1999,actor,1/28/1999,Acting,D. L. Hughley
12,1999,television actress,10/18/1999,Acting,Rebecca Gayheart
13,1999,Comedian,10/19/1999,Comedy,Steven Wright
14,1999,actress,10/20/1999,Acting,Amy Brenneman
15,1999,actress,10/21/1999,Acting,Melissa Gilbert
16,1999,actress,10/25/1999,Acting,Cathy Moriarty
17,1999,comedian,10/26/1999,Comedy,Louie Anderson
18,1999,actress,10/27/1999,Acting,Sarah Michelle Gellar
19,1999,Singer-songwriter,10/28/1999,Musician,Melanie C
20,1999,actor,10/4/1999,Acting,Greg Proops
21,1999,television personality,10/5/1999,Media,Maury Povich
22,1999,actress,10/6/1999,Acting,Brooke Shields
23,1999,Comic,10/7/1999,Comedy,Molly Shannon
24,1999,actor,11/1/1999,Acting,Chris O'Donnell
25,1999,actress,11/15/1999,Acting,Christina Ricci
26,1999,Singer-songwriter,11/16/1999,Musician,Tori Amos
27,1999,actress,11/17/1999,Acting,Yasmine Bleeth
28,1999,comedian,11/18/1999,Comedy,Bill Maher
29,1999,actress,11/2/1999,Acting,Jennifer Love Hewitt
30,1999,rock band,11/29/1999,Musician,Goo Goo Dolls
31,1999,musician,11/3/1999,Musician,Dave Grohl
32,1999,Film actor,11/30/1999,Acting,Stephen Rea
33,1999,Model,11/4/1999,Media,Roshumba Williams
34,1999,television actress,11/8/1999,Acting,Kellie Martin
35,1999,actress,11/9/1999,Acting,Kathy Griffin
36,1999,actress,12/1/1999,Acting,Laura San Giacomo
37,1999,journalist,12/13/1999,Media,Joan Lunden
38,1999,actress,12/14/1999,Acting,Shannen Doherty
39,1999,NaN,12/15/1999,NaN,Greatest Millennium Special
40,1999,comedian,12/16/1999,Comedy,George Carlin
41,1999,actor,12/2/1999,Acting,Michael Boatman
42,1999,actor,12/20/1999,Acting,David Boreanaz
43,1999,singer-songwriter,12/21/1999,Musician,Jewel
44,1999,actor,12/6/1999,Acting,Paul Rudd
45,1999,us senator,12/7/1999,Politician,"Senator Bob Dole, part 1"
46,1999,us senator,12/8/1999,Politician,"Senator Bob Dole, part 2"
47,1999,actor,12/9/1999,Acting,Rob Schneider
48,1999,comedian,2/1/1999,Comedy,George Carlin
49,1999,actress,2/10/1999,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
50,1999,actress,2/10/1999,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
51,1999,actress,2/10/1999,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver"
52,1999,film actor,2/11/1999,Acting,Daniel Stern
53,1999,actress,2/16/1999,Acting,Melina Kanakaredes
54,1999,comedian,2/17/1999,Comedy,Ed McMahon
55,1999,actor,2/18/1999,Acting,Mike Judge
56,1999,actor,2/2/1999,Acting,Dave Foley
57,1999,television actress,2/3/1999,Acting,Kellie Martin
58,1999,actor,2/4/1999,Acting,Jerry O'Connell
59,1999,actress,2/8/1999,Acting,Melissa Gilbert
60,1999,actor,2/9/1999,Acting,Brendan Fraser
61,1999,pianist,3/1/1999,Musician,John Tesh
62,1999,Vocalist,3/10/1999,Musician,Sammy Hagar
63,1999,rock band,3/11/1999,Musician,"Hootie & the Blowfish, Billy Crystal"
64,1999,actor,3/11/1999,Acting,"Hootie & the Blowfish, Billy Crystal"
65,1999,Film actor,3/15/1999,Acting,Peter Krause
66,1999,musician,3/16/1999,Musician,Chris Isaak
67,1999,writer,3/17/1999,Media,"Frank DeCaro's Oscar Special, John Larroquette"
68,1999,actor,3/17/1999,Acting,"Frank DeCaro's Oscar Special, John Larroquette"
69,1999,actor,3/18/1999,Acting,Joseph Gordon-Levitt
70,1999,actor,3/2/1999,Acting,Eric McCormack
71,1999,actress,3/22/1999,Acting,Jennifer Grey
72,1999,Stand-up comedian,3/23/1999,Comedy,Norm Macdonald
73,1999,actress,3/24/1999,Acting,Sandra Bullock
74,1999,actress,3/25/1999,Acting,Janine Turner
75,1999,Film director,3/29/1999,Media,Ron Howard
76,1999,actress,3/3/1999,Acting,Jeri Ryan
77,1999,actor,3/30/1999,Acting,Omar Epps
78,1999,actress,3/31/1999,Acting,Diane Lane
79,1999,actor,3/4/1999,Acting,Ryan Phillippe
80,1999,actor,3/8/1999,Acting,Ian McKellen
81,1999,actor,3/9/1999,Acting,Jon Voight
82,1999,actor,4/1/1999,Acting,Stephen Baldwin
83,1999,actor,4/12/1999,Acting,Ernie Hudson
84,1999,film actor,4/13/1999,Acting,Josh Charles
85,1999,actor,4/14/1999,Acting,Jackie Chan
86,1999,actress,4/15/1999,Acting,Marlee Matlin
87,1999,actress,4/19/1999,Acting,Sharon Lawrence
88,1999,actor,4/20/1999,Acting,Rob Estes
89,1999,actress,4/21/1999,Acting,Angelina Jolie
90,1999,stand-up comedian,4/22/1999,Comedy,David Spade
91,1999,actor,4/26/1999,Acting,Seth Green
92,1999,actress,4/27/1999,Acting,Sheryl Lee Ralph
93,1999,singer,4/28/1999,Musician,Chris Robinson
94,1999,comedian,4/29/1999,Comedy,Joy Behar
95,1999,actor,5/10/1999,Acting,Thomas Gibson
96,1999,actress,5/11/1999,Acting,Paula Cale
97,1999,actor,5/12/1999,Acting,Ted Danson
98,1999,actor,5/13/1999,Acting,Esai Morales
99,1999,actress,5/17/1999,Acting,Jane Seymour
100,1999,Comedian,5/18/1999,Comedy,Robert Schimmel
101,1999,actress,5/19/1999,Acting,Camryn Manheim
102,1999,actor,5/20/1999,Acting,Ray Romano
103,1999,television actress,5/24/1999,Acting,Patricia Richardson
104,1999,actress,5/25/1999,Acting,Suzanne Somers
105,1999,actress,5/26/1999,Acting,Natalie Portman
106,1999,actor,5/27/1999,Acting,Jamie Foxx
107,1999,actor,6/10/1999,Acting,Timothy Hutton
108,1999,actor,6/14/1999,Acting,Mike Myers
109,1999,actor,6/15/1999,Acting,Rob Lowe
110,1999,actor,6/16/1999,Acting,Mike Myers
111,1999,actress,6/17/1999,Acting,Heather Graham
112,1999,film actress,6/21/1999,Acting,Felicity Huffman
113,1999,television host,6/22/1999,Media,Jimmy Kimmel
114,1999,actor,6/23/1999,Acting,Adam Sandler
115,1999,Stand-up comedian,6/24/1999,Comedy,Richard Belzer
116,1999,Comedian,6/28/1999,Comedy,Margaret Cho
117,1999,actor,6/29/1999,Acting,Scott Wolf
118,1999,actress,6/30/1999,Acting,Roseanne Barr
119,1999,singer,6/7/1999,Musician,Harry Connick Jr.
120,1999,comedian,6/8/1999,Comedy,Caroline Rhea
121,1999,actor,6/9/1999,Acting,Damon Wayans
122,1999,actor,7/1/1999,Acting,Rob Schneider
123,1999,televison actor,7/12/1999,Acting,Adam Arkin
124,1999,muppet,7/13/1999,Media,Miss Piggy
125,1999,actor,7/14/1999,Acting,John Leguizamo
126,1999,Stand-up comedian,7/15/1999,Comedy,Robert Klein
127,1999,actress,7/19/1999,Acting,Christa Miller
128,1999,stand-up comedian,7/20/1999,Comedy,David Brenner
129,1999,NaN,7/21/1999,NaN,Third Anniversary Special
130,1999,actress,7/22/1999,Acting,Joely Fisher
131,1999,singer,7/26/1999,Musician,Donny Osmond
132,1999,actress,7/27/1999,Acting,Wendie Malick
133,1999,Vocalist,7/28/1999,Musician,Vince Neil
134,1999,film actress,7/29/1999,Acting,Janeane Garofalo
135,1999,comedian,8/10/1999,Comedy,Dom Irrera
136,1999,actor,8/11/1999,Acting,Pierce Brosnan
137,1999,director,8/12/1999,Media,Eduardo Sanchez and Daniel Myrick
138,1999,film director,8/12/1999,Media,Eduardo Sanchez and Daniel Myrick
139,1999,american television personality,8/16/1999,Media,Carson Daly
140,1999,actress,8/17/1999,Acting,Molly Ringwald
141,1999,actress,8/18/1999,Acting,Sarah Jessica Parker
142,1999,actor,8/19/1999,Acting,French Stewart
143,1999,actress,8/2/1999,Acting,Bebe Neuwirth
144,1999,actress,8/23/1999,Acting,Cheryl Ladd
145,1999,rapper,8/24/1999,Musician,LL Cool J
146,1999,singer-songwriter,8/25/1999,Musician,Dwight Yoakam
147,1999,actress,8/26/1999,Acting,Nia Long
148,1999,actor,8/3/1999,Acting,Garry Marshall
149,1999,NaN,8/30/1999,NaN,The Daily Show Summer Spectacular
150,1999,actor,8/4/1999,Acting,Denis Leary
151,1999,actor,8/5/1999,Acting,Jeffrey Tambor
152,1999,actor,8/9/1999,Acting,Dave Foley
153,1999,comedian,9/13/1999,Comedy,Elayne Boosler
154,1999,actor,9/14/1999,Acting,Tom Green
155,1999,actor,9/15/1999,Acting,Jason Priestley
156,1999,stand-up comedian,9/16/1999,Comedy,David Cross
157,1999,actor,9/20/1999,Acting,Andy Richter
158,1999,singer,9/21/1999,Musician,Donny Osmond Marie Osmond
159,1999,comedian,9/22/1999,Comedy,Dave Chappelle
160,1999,actor,9/23/1999,Acting,Steve Zahn
161,1999,Stand-up comedian,9/27/1999,Comedy,Norm Macdonald
162,1999,actress,9/28/1999,Acting,Melissa Joan Hart
163,1999,Comedian,9/29/1999,Comedy,Richard Lewis
164,1999,actor,9/30/1999,Acting,Bruce McCulloch and Mark McKinney
165,1999,comedian,9/30/1999,Comedy,Bruce McCulloch and Mark McKinney
166,2000,football player,1/10/2000,Athletics,Joe Montana
167,2000,actor,1/11/2000,Acting,Will Ferrell
168,2000,rapper,1/12/2000,Musician,Ice Cube
169,2000,Singer-lyricist,1/13/2000,Musician,Michael Stipe
170,2000,actress,1/17/2000,Acting,Penelope Ann Miller
171,2000,actor,1/18/2000,Acting,Frankie Muniz
172,2000,actor,1/19/2000,Acting,Freddie Prinze Jr.
173,2000,former mayor of cincinatti,1/20/2000,Politician,Jerry Springer
174,2000,Film actress,1/24/2000,Acting,Selma Blair
175,2000,Film actor,1/25/2000,Acting,Peter Krause
176,2000,model,1/26/2000,Media,Jenny McCarthy
177,2000,actor,1/27/2000,Acting,David Arquette
178,2000,actress,1/4/2000,Acting,Cynthia Nixon
179,2000,Singer-songwriter,1/5/2000,Musician,Robbie Williams
180,2000,Stand-up comedian,1/6/2000,Comedy,Richard Belzer
181,2000,singer-songwriter,10/16/2000,Musician,Alice Cooper
182,2000,actor,10/17/2000,Acting,Christian Slater
183,2000,actor,10/18/2000,Acting,Joshua Jackson
184,2000,actor,10/19/2000,Acting,Brendan Fraser
185,2000,actor,10/2/2000,Acting,Dean Cain
186,2000,actor,10/23/2000,Acting,Kevin James
187,2000,comedian,10/24/2000,Comedy,Jeff Garlin
188,2000,businesswoman,10/25/2000,Business,Posh Spice & Baby Spice
189,2000,singer,10/25/2000,Musician,Posh Spice & Baby Spice
190,2000,actor,10/26/2000,Acting,Steven Weber
191,2000,actor,10/3/2000,Acting,Ashton Kutcher
192,2000,actress,10/30/2000,Acting,Brett Butler
193,2000,journalist,10/31/2000,Media,David Frost
194,2000,singer-songwriter,10/4/2000,Musician,Jewel
195,2000,activist,10/5/2000,Advocacy,Ralph Nader
196,2000,Media person,11/1/2000,Media,Phil Donahue
197,2000,actor,11/13/2000,Acting,Adam Sandler
198,2000,actress,11/14/2000,Acting,Patricia Arquette
199,2000,actor,11/15/2000,Acting,Adam Sandler
200,2000,actor,11/16/2000,Acting,Rhys Ifans
201,2000,actor,11/2/2000,Acting,Michael Richards
202,2000,NaN,11/20/2000,NaN,Tales of Survival with Vance DeGeneres
203,2000,actor,11/27/2000,Acting,John Goodman
204,2000,actress,11/28/2000,Acting,Laura San Giacomo
205,2000,film actor,11/29/2000,Acting,Billy Campbell
206,2000,actor,11/30/2000,Acting,Anthony Clark
207,2000,former us senator,11/6/2000,Politician,Arlen Specter
208,2000,american politician,11/7/2000,Politician,Bob Dole
209,2000,Stand-up comedian,11/8/2000,Comedy,Richard Belzer
210,2000,Filmmaker,11/9/2000,Media,Michael Moore
211,2000,radio personality,12/11/2000,Media,Ira Glass
212,2000,commentator,12/12/2000,Media,Greta Van Susteren
213,2000,NaN,12/13/2000,NaN,no guest
214,2000,Journalist,12/14/2000,Media,Wolf Blitzer
215,2000,actress,12/18/2000,Acting,Marla Sokoloff
216,2000,actress,12/19/2000,Acting,Marisa Tomei
217,2000,actress,12/20/2000,Acting,Jeri Ryan
218,2000,film actress,12/21/2000,Acting,Gillian Anderson
219,2000,actor,12/4/2000,Acting,Thomas Gibson
220,2000,actress,12/5/2000,Acting,Faith Ford
221,2000,actor,12/6/2000,Acting,Chris O'Donnell
222,2000,actor,12/7/2000,Acting,Marlon Wayans
223,2000,actor,2/1/2000,Acting,Jeff Bridges
224,2000,actor,2/1/2000,Acting,Vin Diesel
225,2000,Singer-songwriter,2/14/2000,Musician,Moby
226,2000,actor,2/15/2000,Acting,Dennis Farina
227,2000,actor,2/16/2000,Acting,Matthew Perry
228,2000,comedian,2/17/2000,Comedy,Ed McMahon
229,2000,former senator from kansas,2/2/2000,Politician,"Focus on New Hampshire Special, special guest ..."
230,2000,actor,2/22/2000,Acting,Snoop Dogg
231,2000,actress,2/23/2000,Acting,Charlize Theron
232,2000,actress,2/24/2000,Acting,Rachael Leigh Cook
233,2000,actor,2/28/2000,Acting,Forest Whitaker
234,2000,actor,2/3/2000,Acting,Jason Priestly
235,2000,actor,3/1/2000,Acting,Tobey Maguire
236,2000,stand-up comedian,3/13/2000,Comedy,Eddie Izzard
237,2000,actress,3/14/2000,Acting,Kim Delaney
238,2000,Journalist,3/15/2000,Media,Wolf Blitzer
239,2000,comedian,3/16/2000,Comedy,George Wallace
240,2000,comedian,3/2/2000,Comedy,Ellen DeGeneres
241,2000,actor,3/20/2000,Acting,Chris Meloni
242,2000,actress,3/21/2000,Acting,Marla Sokoloff
243,2000,comedian,3/22/2000,Comedy,Eric Idle
244,2000,film actress,3/23/2000,Acting,Leelee Sobieski
245,2000,singer-songwriter,3/27/2000,Musician,John Lydon
246,2000,actor,3/28/2000,Acting,Joshua Jackson
247,2000,Reporter,3/29/2000,Media,Sam Donaldson
248,2000,actor,3/30/2000,Acting,Jimmy Smits
249,2000,actor,3/6/2000,Acting,Neil Patrick Harris
250,2000,actor,3/7/2000,Acting,Kevin Pollak
251,2000,american politician,3/8/2000,Politician,Bob Dole
252,2000,comedian,3/9/2000,Comedy,Garry Shandling
253,2000,Singer,4/10/2000,Musician,Roger Daltrey
254,2000,writer,4/11/2000,Media,Ben Stein
255,2000,Film actor,4/12/2000,Acting,Patrick Stewart
256,2000,actor,4/13/2000,Acting,David Alan Grier
257,2000,actor,4/17/2000,Acting,Stanley Tucci
258,2000,actress,4/18/2000,Acting,Samantha Mathis
259,2000,professional wrestler,4/19/2000,Athletics,Diamond Dallas Page
260,2000,former us senator,4/20/2000,Politician,Arlen Specter
261,2000,publisher,4/24/2000,Media,Hugh Hefner and Bentley twins
262,2000,model,4/24/2000,Media,Hugh Hefner and Bentley twins
263,2000,actress,4/25/2000,Acting,Kirsten Dunst
