,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
0,Alabama A & M University,100200,5,850,0.7249,0.8159,0.653841,4380,7017,0.477631579,14600,49720.22,13435
1,University of Alabama at Birmingham,105200,5,1147,0.3505,0.5218,0.604275,10331,10221,0.673230442,14250,55735.22,16023
2,University of Alabama in Huntsville,105500,5,1221,0.3179,0.4589,0.811971,5220,9514,0.762222222,15000,58688.62,18661
3,Alabama State University,100500,5,844,0.7567,0.7692,0.463858,4348,7940,0.43006993,15274,46065.2,7400
4,The University of Alabama,105100,5,1181,0.2009,0.4059,0.535867,15318,9710,0.75203252,17500,57928.41,20575
5,Auburn University at Montgomery,831000,5,990,0.4373,0.5584,0.787089,4098,7588,0.714932127,10250,50723.81,14176
6,Auburn University,100900,5,1218,0.1631,0.347,0.776605,18326,9738,0.829545455,17500,59005.4,22183
7,Birmingham Southern College,101200,5,1167,0.1992,0.4633,0.530579,1395,7078,PrivacySuppressed,19500,64789.39,21562
8,Faulkner University,100300,5,985,0.5596,0.7105,0.573014,612,5973,0.53125,13750,52330.99,23970
9,Huntingdon College,101900,5,992,0.4207,0.6862,0.576944,657,5911,0.75,16668,54037.99,19685
10,Heritage Christian University,2199700,5,848,0.5806,0.3226,0.7,95,3439,PrivacySuppressed,12875,51048.04,11194
11,Jacksonville State University,102000,5,1062,0.4308,0.6746,0.666451,6491,6795,0.672868217,16624,48389.27,17139
12,Judson College,102300,5,1031,0.5635,0.6614,0.629179,321,5545,0.75,12700,46522.29,13152
13,University of West Alabama,102400,5,930,0.5343,0.6826,0.734728,1595,5938,0.602739726,12750,40238.44,12733
14,University of Mobile,102900,5,1025,0.4918,0.7729,0.605085,1764,5028,0.596045198,19750,51833.34,19649
15,University of Montevallo,100400,5,1069,0.4058,0.5755,0.700099,2557,7496,0.756929638,15500,59047.15,16885
16,University of North Alabama,101600,5,1027,0.402,0.6731,0.579994,4944,7393,0.771867612,12750,48189.09,11438
17,Oakwood University,103300,5,923,0.5312,0.7214,0.4749,1767,4439,0.530487805,26000,60906.45,24565
18,Samford University,103600,5,1162,0.1373,0.3287,0.933041,2870,8599,0.881067961,16000,69602.13,27065
19,University of South Alabama,105700,5,1045,0.4003,0.5745,0.781585,9232,7179,0.695334458,14250,51919.71,15204
20,Spring Hill College,104100,5,1120,0.35,0.6839,0.413229,1227,6278,0.808411215,20500,59048.32,9657
21,Stillman College,104400,5,831,0.6818,0.7292,0.5659,1530,4770,0.397435897,14250,46186.31,16988
22,Troy University,104700,5,1046,0.4319,0.6246,0.918657,3810,6336,0.659047619,15000,49132.68,11551
23,Tuskegee University,105000,5,955,0.4869,0.6484,0.529552,2467,6086,0.765432099,25000,54155.29,31468
24,University of Alaska Fairbanks,106300,8,1058,0.228,0.2541,0.731017,6359,9265,0.750677507,9500,65084.81,9942
25,Alaska Pacific University,106100,8,985,0.2761,0.4847,0.389127,479,5458,0.827160494,16375,70542.98,18218
26,Arizona State University-Tempe,108100,6,1143,0.3138,0.4317,0.764818,33985,10941,0.739734885,14500,69074.33,11337
27,Prescott College,2065300,6,1039,0.4397,0.5991,0.704268,757,4386,0.787234043,14988,62739.99,22180
28,Arizona Christian University,711300,6,997,0.2809,0.4098,0.512346,60,5155,0.828125,9500,65520.64,27570
29,University of Arkansas at Little Rock,110100,5,990,0.4,0.4702,0.898349,8283,7511,0.679396092,12000,51732.17,12218
30,Lyon College,108800,5,1120,0.4262,0.6526,0.591164,471,6277,0.752688172,12000,48616.43,17003
31,University of Arkansas,110800,5,1154,0.2295,0.3998,0.600574,12502,9169,0.801935117,14500,52450.53,14546
32,University of Arkansas at Pine Bluff,108600,5,871,0.723,0.6964,0.46159,2926,5795,0.573929961,12500,42634.24,7959
33,Arkansas State University-Main Campus,109000,5,1088,0.4565,0.5406,0.702394,9289,6920,0.678571429,12500,42159.88,12152
34,University of Central Arkansas,109200,5,1068,0.4138,0.5169,0.921786,7471,6696,0.753255655,11250,48705.91,13063
35,Central Baptist College,109300,5,968,0.4336,0.6061,0.47486,381,5244,0.676923077,12000,50351.38,15829
36,Harding University,109700,5,1135,0.2584,0.5576,0.992016,3982,7200,0.837471783,19500,61757.88,17276
37,Henderson State University,109800,5,988,0.5452,0.6087,0.633386,3182,6427,0.651162791,9500,45548.96,9937
