,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
0,1351,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,115,Clean,Neutral,Very satisfied
1,373,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,135,Clean,Very safe,Very satisfied
2,2820,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,70,Average,Somewhat safe,Neutral
3,1157,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,190,Clean,Very safe,Somewhat satisfied
4,2992,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,559,Unacceptable,Very safe,Somewhat satisfied
5,634,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Very satisfied
6,2578,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,63,Clean,Very safe,Somewhat satisfied
8,2592,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Very safe,Neutral
9,919,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,70,Somewhat clean,Somewhat safe,Somewhat satisfied
10,3028,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,180,Average,Very safe,Neutral
11,1129,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,540,Clean,Very safe,Somewhat satisfied
12,2648,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,192,Somewhat clean,Very safe,Somewhat satisfied
13,3104,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,107,Clean,Very safe,Somewhat satisfied
14,2589,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
15,2345,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satisfied
16,390,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,175,Somewhat clean,Neutral,Somewhat satisfied
17,954,Tuesday,ALASKA,NEW YORK-JFK,EAST US,Hub,Gates 50-59,12/31/2018,100,Clean,Very safe,Very satisfied
18,2913,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,225,Unacceptable,Very safe,Somewhat satisfied
19,803,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied
20,767,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Average,Neutral,Somewhat satisfied
21,1214,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,60,Average,Somewhat safe,Somewhat satisfied
22,1373,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,145,Clean,Very safe,Somewhat satisfied
23,1263,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,210,Average,Neutral,Neutral
24,2723,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,160,Somewhat clean,Very safe,Somewhat satisfied
25,3097,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,604,Clean,Very safe,Very satisfied
27,214,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Average,Somewhat safe,Somewhat satisfied
28,1372,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Very safe,Somewhat satisfied
29,1956,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satisfied
30,1716,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,510,Clean,Neutral,Very satisfied
31,1487,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,12/31/2018,135,Clean,Very safe,Somewhat satisfied
32,842,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,12/31/2018,145,Somewhat clean,Very safe,Somewhat satisfied
33,930,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,270,Average,Somewhat safe,Somewhat satisfied
34,3064,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,173,Average,Neutral,Neutral
35,743,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Very safe,Somewhat satisfied
36,2099,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,12/31/2018,190,Clean,Very safe,Neutral
37,315,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,92,Somewhat clean,Very safe,Somewhat satisfied
38,2216,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,135,Somewhat clean,Very safe,Very satisfied
39,3121,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Neutral
41,2890,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,12/31/2018,145,Average,Neutral,Somewhat satisfied
42,3046,Tuesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,120,Average,Very safe,Very satisfied
43,3183,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,900,Somewhat clean,Somewhat safe,Somewhat satisfied
44,2288,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Very satisfied
45,2740,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,Hub,Gates 1-12,12/31/2018,330,Average,Very unsafe,Somewhat satisfied
46,1570,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,150,Clean,Somewhat safe,Somewhat satisfied
47,3228,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,12/31/2018,110,Clean,Very safe,Somewhat satisfied
48,1140,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,415,Somewhat clean,Very safe,Somewhat satisfied
49,349,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,12/31/2018,76,Clean,Very safe,Very satisfied
50,1572,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,12/31/2018,150,Somewhat clean,Neutral,Very satisfied
52,1635,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,12/31/2018,210,Somewhat dirty,Somewhat safe,Neutral
56,524,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,165,Somewhat clean,Somewhat safe,Neutral
57,1139,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,120,Average,Very safe,Somewhat satisfied
58,314,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,122,Clean,Very safe,Very satisfied
59,558,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,225,Somewhat clean,Somewhat safe,Somewhat satisfied
60,262,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,175,Somewhat clean,Somewhat safe,Somewhat satisfied
61,2537,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,115,Clean,Very safe,Very satisfied
62,1713,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,135,Average,Very safe,Somewhat satisfied
63,407,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,12/31/2018,110,Clean,Very safe,Somewhat satisfied
64,3212,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,90,Somewhat clean,Somewhat safe,Somewhat unsatisfied
65,450,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,12/31/2018,68,Clean,Somewhat safe,Very satisfied
66,1477,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,12/31/2018,155,Clean,Very safe,Very satisfied
67,3151,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,15,Average,Very safe,Neutral
68,2257,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,12/31/2018,65,Clean,Very safe,Very satisfied
69,2400,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,12/31/2018,205,Clean,Very safe,Somewhat satisfied
70,2230,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,12/31/2018,300,Average,Somewhat safe,Neutral
71,2865,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,12/31/2018,77,Average,Very safe,Somewhat satisfied
72,387,Friday,ALASKA,INDIANAPOLIS,Midwest US,Medium,Gates 50-59,12/31/2018,160,Clean,Very safe,Very satisfied
73,1957,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,12/31/2018,185,Somewhat clean,Neutral,Somewhat satisfied
